,sentence1,sentence2,label,predicted_label
0,"pccw ' chief operating officer , mike butcher , and alex arena , the chief financial officer , will report directly to mr so .",current chief operating officer mike butcher and group chief financial officer alex arena will report to so .,1,True
1,the world ' two largest automakers said their .. sales declined more than predicted last month as  late summer sales frenzy caused more of an industry backlash than expected .,domestic sales at both gm and no.  ford motor co. declined more than predicted as  late summer sales frenzy prompted  larger-than-expected industry backlash .,1,True
2,"according to the federal centers for disease control and prevention ( news - web sites ) , there were 19 reported cases of measles in the united states in 2002 .",the centers for disease control and prevention said there were 19 reported cases of measles in the united states in 2002 .,1,True
3, tropical storm rapidly developed in the gulf of mexico sunday and was expected to hit somewhere along the texas or louisiana coasts by monday night ., tropical storm rapidly developed in the gulf of mexico on sunday and could have hurricane-force winds when it hits land somewhere along the louisiana coast monday night .,0,False
4,the company didn ' detail the costs of the replacement and repairs .,but company officials expect the costs of the replacement work to run into the millions of dollars .,0,False
5,"the settling companies would also assign their possible claims against the underwriters to the investor plaintiffs , he added .","under the agreement , the settling companies will also assign their potential claims against the underwriters to the investors , he added .",1,True
6,air commodore quaife said the hornets remained on three-minute alert throughout the operation .,air commodore john quaife said the security operation was unprecedented .,0,True
7," washington county man may have the countys first human case of west nile virus , the health department said friday .",the countys first and only human case of west nile this year was confirmed by health officials on sept .  .,1,washington county man
8,moseley and  senior aide delivered their summary assessments to about 300 american and allied military officers on thursday .,general moseley and  senior aide presented their assessments at an internal briefing for american and allied military officers at nellis air force base in nevada on thursday .,1,True
9,"the broader standard & poor ' 500 index was .46 points lower , or .05 percent , at 997.02 .","the technology-laced nasdaq composite index .ixic was up .42 points , or .45 percent , at ,653.44 .",0,False
10,consumers would still have to get  descrambling security card from their cable operator to plug into the set .,"to watch pay television , consumers would insert into the set  security card provided by their cable service .",1,False
11,the increase reflects lower credit losses and favorable interest rates .,the gain came as  result of fewer credit losses and lower interest rates .,1,False
12,the device plays internet radio streams and comes with  30-day trial of realnetworks ' rhapsody music service .,the product also streams internet radio and comes with  30-day free trial for realnetworks ' rhapsody digital music subscription service .,1,device streams internet radio
13,"hong kong was flat , australia , singapore and south korea lost .-. percent .","australia was flat , singapore was down . percent by midday and south korea added . percent .",0,True
14,"evidence suggests two of the victims were taken by surprise , while the other two might have tried to flee or to defend themselves or the others , police said .","evidence suggests two victims were taken by surprise , while the others may have tried to flee or perhaps defend themselves or their friends , police said .",1,True
15,ballmer has been vocal in the past warning that linux is  threat to microsoft .,"in the memo , ballmer reiterated the open-source threat to microsoft .",0,False
16," charter plane crashed in turkey on monday , killing all 75 people aboard , including 62 spanish peacekeepers returning from afghanistan , officials said ."," plane carrying 75 people , including 62 spanish peacekeepers returning from afghanistan , crashed in thick fog in turkey early on monday , killing all aboard , officials said .",1,False
17,"moroccan interior minister al mustapha sahel said the investigation  points to  group that has been arrested recently  , an apparent reference to djihad salafist .",moroccan interior minister al mustapha sahel told state-run 2m television late saturday the investigation  points to  group that has been arrested recently  an apparent reference to salafist jihad .,1,False
18,"  ' delighted that david chase has decided to give us another chapter in the great ' sopranos ' saga ,  hbo chairman and chief executive chris albrecht said .","  ' delighted that david chase has decided to give us another chapter in the great sopranos saga ,  said hbo chairman chris albrecht in  statement .",1,hbo
19,the two had argued that only  new board would have had the credibility to restore el paso to health .,he and zilkha believed that only  new board would have had the credibility to restore el paso to health .,1,False
20," there ' no reason for you to keep your skills up ,  the judge told the convicted crack cocaine kingpin ."," there ' no reason for you to keep your skills up ,  .. district judge . frederick motz told mcgriff after he was sentenced .",1,False
21,"still , he said ,   ' absolutely confident we are going to have  bill . ","  ' absolutely confident we are going to have  bill ,  frist , -tenn . , said thursday .",1,the following pair of
22," senator clinton should be ashamed of herself for playing politics with the important issue of homeland security funding ,  he said ."," she should be ashamed of herself for playing politics with this important issue ,  said state budget division spokesman andrew rush .",1,True
23,"federal agents said yesterday they are investigating the theft of ,200 pounds of an explosive chemical from construction companies in colorado and california in the past week .","federal investigators are looking for possible connections between the theft of ,100 pounds of an explosive chemical from construction companies in colorado and california in the past week .",1,False
24,"last year , comcast signed . million new digital cable subscribers .","comcast has about 21. million cable subscribers , many in the largest .. cities .",0,True
25,schofield got toepfer to admit on cross-examination that she ignored many of  'donnell ' suggestions and projects .,"but under cross-examination by  'donnell ' attorney , lorna schofield , toepfer conceded she had ignored many of  'donnell ' suggestions and projects .",1,lorna
26,the man accused of using fake grenades to commandeer  cuban plane that landed in key west in april was sentenced friday to 20 years in prison ., cuban architect was sentenced to 20 years in prison friday for using two fake grenades to hijack  passenger plane from cuba to florida in april .,1,True
27,"moroccan police have arrested 33 suspects , including some linked to the radical djihad salafist group ,  government official said .","in  series of raids , moroccan police arrested 33 suspects saturday , including some linked to the radical djihad salafist group ,  senior government official said .",1,False
28,"the son of circus trapeze artists turned vaudevillians ,  'connor was born on aug. 28 , 1925 , in chicago and was carried onstage for applause when he was three days old .","the son of circus trapeze artists turned vaudevillians ,  'connor was carried onstage for applause when he was  days old .",1,son of circus trap
29,"ricky clemons ' brief , troubled missouri basketball career is over .","missouri kicked ricky clemons off its team , ending his troubled career there .",1,False
30,"dynes will get $ 395,000  year , up from atkinson ' current salary of $ 361,400 .","in his new position , dynes will earn $ 395,000 ,  significant increase over atkinson ' salary of $ 361,400 .",1,True
31,the daily hurriyet said the raid aimed to foil  turkish plot to kill an unnamed senior iraqi official in kirkuk .,"the daily hurriyet said the raid aimed to foil  turkish plot to kill an unnamed senior iraqi kurdish official in kirkuk , but gul has denied any turkish plot .",0,True
32," it was  little bit embarrassing the way we played in the first two games ,  thomas said ."," we are in the stanley cup finals , and it was  little bit embarrassing the way we played in the first two games .",0,stanley cup
33,"against the japanese currency , the euro was at 135.92 / .04 yen against the late new york level of 136.03 / 14 .","the dollar was at 117.85 yen against the japanese currency , up . percent .",0,False
34,"snow ' remark ``has  psychological impact , ' ' said hans redeker , head of foreign-exchange strategy at bnp paribas .","snow ' remark on the dollar ' effects on exports ``has  psychological impact , ' ' said hans redeker , head of foreign- exchange strategy at bnp paribas .",1,snow '
35,the women said victims of rape who came forward routinely were punished for minor infractions while their assailants escaped judgment .,"the women said victims of rape who came forward were routinely punished for minor infractions while their attackers escaped judgment , prompting most victims to remain silent .",0,True
36," the national has no interest in acquiring amp while amp owns its uk business ,  cicutto added ."," the national has no interest in acquiring amp while amp owns its .. business ,  nab chief executive frank cicutto said .",1,False
37,"in  statement , mr. rowland said :  as is the case with all appointees , commissioner anson is accountable to me ."," as is the case with all appointees , commissioner anson is accountable to me ,  rowland said .",1,True
38,oracle ' $  billion hostile bid for peoplesoft is clearly not sitting well with peoplesoft ' executives .,oracle on friday launched  $ . billion hostile takeover bid for peoplesoft .,0,False
39,"taha is married to former iraqi oil minister amir muhammed rasheed , who surrendered to .. forces on april 28 .","taha ' husband , former oil minister amer mohammed rashid , surrendered to .. forces on april 28 .",1,True
40,cisco pared spending during the quarter to compensate for sluggish sales .,"in response to sluggish sales , cisco pared spending .",1,True
41,"seven 20- and 21-year-old cadets were ticketed by police for drinking alcohol in an off-campus hotel room early saturday with two young women , aged 16 and 18 .","seven 20- and 21-year-old male cadets were caught in an off-campus hotel room early saturday with two female teens , 16 and 18 years .",1,True
42,"dixon ' win moved him into second place in the points standings , 49 behind kanaan ."," it ' always fun to come to colorado ,  said dixon , who moved into second in the irl standings behind kanaan .",0,dixon moved into
43,"last year , congress passed similar , though less expensive , buyout legislation for peanut farmers , ending that depression-era program .","last year , congress passed similar , though less expensive , buyout legislation for peanut farmers to end that program that also dated from the depression years .",1,True
