,sentence1,sentence2,label,idx,noisy_sentence1,noisy_sentence2,noisy_pair,noise_flags_sentence1,noise_flags_sentence2,major_noise_sentence1,major_noise_sentence2,major_noisy_pair
13,He told The Sun newspaper that Mr. Hussein 's daughters had British schools and hospitals in mind when they decided to ask for asylum .,""" Saddam 's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools , "" he told The Sun .",1,14,he told the sun newspaper that mr. hussein 's daughters had british schools and hospitals in mind when they decided to ask for asylum .,""" saddam 's daughters had british schools and hospitals in mind when they decided to ask for asylum especially the schools , "" he told the sun .",True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",False,True,True
48,The Washington Post said Airlite would shut down its first shift and parts of the second shift Monday to accommodate the president ’ s appearance .,"The plant plans to shut down its first shift and parts of the second shift Monday to accommodate the president 's appearance , Crosby said .",1,56,the washington post said airlite would shut down its first shift and parts of the second shift monday to accommodate the president s appearance .,"the plant plans to shut down its first shift and parts of the second shift monday to accommodate the president 's appearance , crosby said .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
64,"Also demonstrating box-office strength _ and getting seven Tony nominations _ was a potent revival of Eugene O 'Neill 's family drama , "" Long Day 's Journey Into Night . ""","Also demonstrating box-office strength -- and getting seven Tony nominations -- was a potent revival of Eugene ONeills family drama , Long Days Journey Into Night . """,1,72,"also demonstrating boxoffice strength _ and getting seven tony nominations _ was a potent revival of eugene o 'neill 's family drama , "" long day 's journey into night . ""","also demonstrating boxoffice strength and getting seven tony nominations was a potent revival of eugene oneills family drama , long days journey into night . """,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",False,True,True
74,Sales - a figure watched closely as a barometer of its health - rose 5 percent instead of falling as many industry experts had predicted .,It also disclosed that sales -- a figure closely watched by analysts as a barometer of its health -- were significantly higher than industry experts expected .,1,86,sales a figure watched closely as a barometer of its health rose 5 percent instead of falling as many industry experts had predicted .,it also disclosed that sales a figure closely watched by analysts as a barometer of its health were significantly higher than industry experts expected .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",False,True,True
89,"He said that with the U.S.-backed peace plan , or road map , “ in a coma , ” the attack could easily widen conflict through the region .","Mr Jouejati said that with the US-backed road map "" in a coma "" the attack could easily widen through the region .",1,103,"he said that with the u.s.backed peace plan , or road map , in a coma , the attack could easily widen conflict through the region .","mr jouejati said that with the usbacked road map "" in a coma "" the attack could easily widen through the region .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
97,"The suite comes complete with a word processor , spreadsheet , presentation software and other components , while continuing its tradition of utilizing an XML-based file format .","The suite includes a word processor , spreadsheet , presentation application ( analogous to PowerPoint ) , and other components -- all built around the XML file format .",1,111,"the suite comes complete with a word processor , spreadsheet , presentation software and other components , while continuing its tradition of utilizing an xmlbased file format .","the suite includes a word processor , spreadsheet , presentation application analogous to powerpoint , and other components all built around the xml file format .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",False,True,True
98,"Downstream at Mount Vernon , the Skagit River was expected to crest at 36 feet -- 8 feet above flood stage -- tonight , Burke said .","The Skagit was expected to crest during the night at 38 feet at Mount Vernon , 10 feet above flood stage , the National Weather Service said .",1,112,"downstream at mount vernon , the skagit river was expected to crest at 36 feet 8 feet above flood stage tonight , burke said .","the skagit was expected to crest during the night at 38 feet at mount vernon , 10 feet above flood stage , the national weather service said .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
103,"For example , Anhalt said , children typically treat a 20-ounce soda bottle as one serving , although it actually contains 2 ½ 8-ounce servings .","Anhalt said children typically treat a 20-ounce soda bottle as one serving , while it actually contains 2.5 .",1,117,"for example , anhalt said , children typically treat a 20ounce soda bottle as one serving , although it actually contains 2 ½ 8ounce servings .","anhalt said children typically treat a 20ounce soda bottle as one serving , while it actually contains 2.5 .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
107,"Sixteen days later , as superheated air from the shuttle 's reentry rushed into the damaged wing , "" there was no possibility for crew survival , "" the board said .","Sixteen days later , as superheated air from the shuttle ’ s re-entry rushed into the damaged wing , ‘ ‘ there was no possibility for crew survival , ’ ’ the board said .",1,121,"sixteen days later , as superheated air from the shuttle 's reentry rushed into the damaged wing , "" there was no possibility for crew survival , "" the board said .","sixteen days later , as superheated air from the shuttle s reentry rushed into the damaged wing , there was no possibility for crew survival , the board said .",True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",False,True,True
132,Arison said Mann may have been one of the pioneers of the world music movement and he had a deep love of Brazilian music .,Arison said Mann was a pioneer of the world music movement -- well before the term was coined -- and he had a deep love of Brazilian music .,0,150,arison said mann may have been one of the pioneers of the world music movement and he had a deep love of brazilian music .,arison said mann was a pioneer of the world music movement well before the term was coined and he had a deep love of brazilian music .,True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",False,True,True
