,sentence1,sentence2,label,idx,noisy_sentence1,noisy_sentence2,noisy_pair
0,"Amrozi accused his brother , whom he called "" the witness "" , of deliberately distorting his evidence .","Referring to him as only "" the witness "" , Amrozi accused his brother of deliberately distorting his evidence .",1,0,"amrozi accused his brother , whom he called "" the witness "" , of deliberately distorting his evidence .","referring to him as only "" the witness "" , amrozi accused his brother of deliberately distorting his evidence .",True
1,Yucaipa owned Dominick 's before selling the chain to Safeway in 1998 for $ 2.5 billion .,Yucaipa bought Dominick 's in 1995 for $ 693 million and sold it to Safeway for $ 1.8 billion in 1998 .,0,1,yucaipa owned dominick 's before selling the chain to safeway in 1998 for 2.5 billion .,yucaipa bought dominick 's in 1995 for 693 million and sold it to safeway for 1.8 billion in 1998 .,True
2,"They had published an advertisement on the Internet on June 10 , offering the cargo for sale , he added .","On June 10 , the ship 's owners had published an advertisement on the Internet , offering the explosives for sale .",1,2,"they had published an advertisement on the internet on june 10 , offering the cargo for sale , he added .","on june 10 , the ship 's owners had published an advertisement on the internet , offering the explosives for sale .",True
3,"Around 0335 GMT , Tab shares were up 19 cents , or 4.4 % , at A $ 4.56 , having earlier set a record high of A $ 4.57 .","Tab shares jumped 20 cents , or 4.6 % , to set a record closing high at A $ 4.57 .",0,3,"around 0335 gmt , tab shares were up 19 cents , or 4.4 , at a 4.56 , having earlier set a record high of a 4.57 .","tab shares jumped 20 cents , or 4.6 , to set a record closing high at a 4.57 .",True
4,"The stock rose $ 2.11 , or about 11 percent , to close Friday at $ 21.51 on the New York Stock Exchange .",PG & E Corp. shares jumped $ 1.63 or 8 percent to $ 21.03 on the New York Stock Exchange on Friday .,1,4,"the stock rose 2.11 , or about 11 percent , to close friday at 21.51 on the new york stock exchange .",pg e corp. shares jumped 1.63 or 8 percent to 21.03 on the new york stock exchange on friday .,True
5,Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier .,"With the scandal hanging over Stewart 's company , revenue the first quarter of the year dropped 15 percent from the same period a year earlier .",1,5,revenue in the first quarter of the year dropped 15 percent from the same period a year earlier .,"with the scandal hanging over stewart 's company , revenue the first quarter of the year dropped 15 percent from the same period a year earlier .",True
6,"The Nasdaq had a weekly gain of 17.27 , or 1.2 percent , closing at 1,520.15 on Friday .","The tech-laced Nasdaq Composite .IXIC rallied 30.46 points , or 2.04 percent , to 1,520.15 .",0,6,"the nasdaq had a weekly gain of 17.27 , or 1.2 percent , closing at 1,520.15 on friday .","the techlaced nasdaq composite .ixic rallied 30.46 points , or 2.04 percent , to 1,520.15 .",True
7,The DVD-CCA then appealed to the state Supreme Court .,The DVD CCA appealed that decision to the U.S. Supreme Court .,1,7,the dvdcca then appealed to the state supreme court .,the dvd cca appealed that decision to the u.s. supreme court .,True
8,"That compared with $ 35.18 million , or 24 cents per share , in the year-ago period .",Earnings were affected by a non-recurring $ 8 million tax benefit in the year-ago period .,0,8,"that compared with 35.18 million , or 24 cents per share , in the yearago period .",earnings were affected by a nonrecurring 8 million tax benefit in the yearago period .,True
9,"Shares of Genentech , a much larger company with several products on the market , rose more than 2 percent .","Shares of Xoma fell 16 percent in early trade , while shares of Genentech , a much larger company with several products on the market , were up 2 percent .",0,10,"shares of genentech , a much larger company with several products on the market , rose more than 2 percent .","shares of xoma fell 16 percent in early trade , while shares of genentech , a much larger company with several products on the market , were up 2 percent .",True
10,Legislation making it harder for consumers to erase their debts in bankruptcy court won overwhelming House approval in March .,"Legislation making it harder for consumers to erase their debts in bankruptcy court won speedy , House approval in March and was endorsed by the White House .",0,11,legislation making it harder for consumers to erase their debts in bankruptcy court won overwhelming house approval in march .,"legislation making it harder for consumers to erase their debts in bankruptcy court won speedy , house approval in march and was endorsed by the white house .",True
11,"The Nasdaq composite index increased 10.73 , or 0.7 percent , to 1,514.77 .","The Nasdaq Composite index , full of technology stocks , was lately up around 18 points .",0,12,"the nasdaq composite index increased 10.73 , or 0.7 percent , to 1,514.77 .","the nasdaq composite index , full of technology stocks , was lately up around 18 points .",True
